dateTime,open,high,low,close,volume
2021-02-03 13-00-00,0.03153180,0.03177730,0.03079180,0.03162780,365951093.00000000
2021-02-03 14-00-00,0.03162330,0.03209140,0.03143500,0.03172010,220797537.00000000
2021-02-03 15-00-00,0.03171890,0.03204300,0.03133430,0.03153450,208125558.00000000
2021-02-03 16-00-00,0.03153450,0.03274010,0.03100010,0.03247540,400003683.00000000
2021-02-03 17-00-00,0.03244040,0.03300000,0.03163880,0.03212560,515117564.00000000
2021-02-03 18-00-00,0.03210000,0.03281910,0.03182650,0.03252970,304478554.00000000
2021-02-03 19-00-00,0.03252970,0.03304000,0.03205000,0.03263490,339025535.00000000
2021-02-03 20-00-00,0.03265990,0.03555000,0.03250330,0.03516410,1457527064.00000000
2021-02-03 21-00-00,0.03516400,0.03978360,0.03516380,0.03664830,3747582578.00000000
2021-02-03 22-00-00,0.03664830,0.03738570,0.03531160,0.03611940,1202271114.00000000
2021-02-03 23-00-00,0.03608570,0.03790000,0.03530010,0.03725970,760624771.00000000
2021-02-04 00-00-00,0.03723270,0.03751460,0.03611110,0.03629300,538937836.00000000
2021-02-04 01-00-00,0.03629560,0.03742960,0.03583670,0.03688080,476155815.00000000
2021-02-04 02-00-00,0.03688080,0.03977770,0.03686530,0.03861920,898011439.00000000
2021-02-04 03-00-00,0.03863130,0.03922890,0.03739000,0.03844770,612554202.00000000
2021-02-04 04-00-00,0.03842070,0.04130000,0.03790420,0.04126530,923108543.00000000
2021-02-04 05-00-00,0.04127310,0.04338720,0.03923110,0.03948090,2193656479.00000000
2021-02-04 06-00-00,0.03948090,0.04122500,0.03946480,0.03998620,732182490.00000000
2021-02-04 07-00-00,0.03997830,0.05209850,0.03949450,0.05104190,4220547409.00000000
2021-02-04 08-00-00,0.05100320,0.05980000,0.04536250,0.04650220,10506612172.00000000
2021-02-04 09-00-00,0.04649650,0.05150000,0.04600000,0.04878690,2784232688.00000000
2021-02-04 10-00-00,0.04878680,0.05430000,0.04720260,0.05134730,3201120564.00000000
2021-02-04 11-00-00,0.05134670,0.05477800,0.05113970,0.05398600,2292581712.00000000
2021-02-04 12-00-00,0.05395900,0.05399990,0.04576620,0.04973490,3117066758.00000000
2021-02-04 13-00-00,0.04972990,0.05247000,0.04906370,0.05130000,1983436045.00000000
2021-02-04 14-00-00,0.05130000,0.05377740,0.04939800,0.04987870,2103541248.00000000
2021-02-04 15-00-00,0.04987870,0.05028900,0.04445540,0.04693900,2315377915.00000000
2021-02-04 16-00-00,0.04693900,0.04778000,0.04147290,0.04656390,2553045348.00000000
2021-02-04 17-00-00,0.04647170,0.04830000,0.04470010,0.04769800,1207730345.00000000
2021-02-04 18-00-00,0.04766480,0.04940000,0.04681120,0.04815150,1035132795.00000000
2021-02-04 19-00-00,0.04816720,0.04886470,0.04641510,0.04811040,711581729.00000000
2021-02-04 20-00-00,0.04812860,0.04990000,0.04783960,0.04850260,831719789.00000000
2021-02-04 21-00-00,0.04850500,0.05150000,0.04830010,0.05049150,1007508187.00000000
2021-02-04 22-00-00,0.05052320,0.05288330,0.04889000,0.05261260,779252329.00000000
2021-02-04 23-00-00,0.05269110,0.05666660,0.05094640,0.05290810,1770548682.00000000
2021-02-05 00-00-00,0.05281490,0.05291320,0.04865000,0.05180420,1716602961.00000000
2021-02-05 01-00-00,0.05178410,0.05434000,0.05100000,0.05305760,1142155983.00000000
2021-02-05 02-00-00,0.05305730,0.05310000,0.04430900,0.04744270,3123302313.00000000
2021-02-05 03-00-00,0.04743700,0.04826000,0.04552370,0.04627580,893250643.00000000
2021-02-05 04-00-00,0.04629530,0.04638800,0.04315160,0.04491290,1033551319.00000000
2021-02-05 05-00-00,0.04489000,0.04762940,0.04489000,0.04656430,591714737.00000000
2021-02-05 06-00-00,0.04652260,0.04677750,0.04555020,0.04598880,432576846.00000000
2021-02-05 07-00-00,0.04597360,0.04730000,0.04558070,0.04602020,487313205.00000000
2021-02-05 08-00-00,0.04602020,0.04609980,0.04430440,0.04550390,580554067.00000000
2021-02-05 09-00-00,0.04550390,0.04580000,0.04407010,0.04411120,475260708.00000000
2021-02-05 10-00-00,0.04412780,0.04482190,0.04326510,0.04413510,544047003.00000000
2021-02-05 11-00-00,0.04413510,0.04589000,0.04388330,0.04585990,560384891.00000000
2021-02-05 12-00-00,0.04586930,0.04591040,0.04452020,0.04564000,454710242.00000000
2021-02-05 13-00-00,0.04564190,0.04575000,0.04489000,0.04567420,329615814.00000000
2021-02-05 14-00-00,0.04569000,0.04789000,0.04536680,0.04591700,991804263.00000000
2021-02-05 15-00-00,0.04592360,0.04678300,0.04543010,0.04583530,524599948.00000000
2021-02-05 16-00-00,0.04585240,0.04660000,0.04500000,0.04541030,548870583.00000000
2021-02-05 17-00-00,0.04541960,0.04592110,0.04510000,0.04526710,291033547.00000000
2021-02-05 18-00-00,0.04528740,0.04587480,0.04459070,0.04534300,299704972.00000000
2021-02-05 19-00-00,0.04534300,0.04591660,0.04462670,0.04570010,279232671.00000000
2021-02-05 20-00-00,0.04573800,0.04657000,0.04528120,0.04626050,363252127.00000000
